title,year,rating,no_of_reviews,genres,runtime,gross
Looks That Kill,2020.0,6.3,"4,758","
Comedy, Drama, Romance            ",92 min,
Bus Stop,1956.0,6.3,"12,217","
Comedy, Drama, Romance            ",96 min,
Désirée,1954.0,6.3,"3,187","
Biography, Drama, History            ",110 min,
Bandslam,2009.0,6.3,"14,896","
Comedy, Drama, Family            ",111 min,$5.21M
Girl Happy,1965.0,6.3,"2,706","
Comedy, Musical, Romance            ",96 min,$7.09M
Happy Endings,2005.0,6.3,"9,272","
Comedy, Drama, Music            ",128 min,$1.31M
This Christmas,2007.0,6.3,"9,920","
Comedy, Drama, Romance            ",117 min,$49.12M
The Brothers,2001.0,6.3,"4,898","
Comedy, Drama, Romance            ",106 min,$27.46M
Cyrus,2010.0,6.3,"36,101","
Comedy, Drama, Romance            ",91 min,$7.46M
Private Road,1971.0,6.3,236,"
Drama, Romance            ",89 min,
The Wiggles Movie,1997.0,6.3,501,"
Animation, Adventure, Comedy            ",83 min,
Some Freaks,2016.0,6.3,"2,029","
Comedy, Drama, Romance            ",97 min,
March or Die,1977.0,6.3,"3,713","
Adventure, Drama, Romance            ",107 min,$1.00M
Stanley & Iris,1990.0,6.3,"8,145","
Drama, Romance            ",104 min,$5.82M
Veronika Decides to Die,2009.0,6.3,"12,900","
Drama, Romance            ",103 min,
Taras Bulba,1962.0,6.3,"4,257","
Adventure, Drama, History            ",122 min,$7.41M
Shopgirl,2005.0,6.3,"24,330","
Drama, Romance            ",106 min,$10.28M
Rancho Deluxe,1975.0,6.3,"1,987","
Comedy, Romance, Western            ",93 min,
Poison,1991.0,6.3,"4,729","
Drama, Horror, Romance            ",85 min,$0.61M
Up for Love,2016.0,6.3,"8,665","
Comedy, Romance            ",98 min,
Surviving Picasso,1996.0,6.3,"7,676","
Biography, Drama, Romance            ",125 min,$2.00M
"If It's Tuesday, This Must Be Belgium",1969.0,6.3,"2,312","
Adventure, Comedy, Romance            ",99 min,
Enduring Love,2004.0,6.3,"10,757","
Drama, Mystery, Romance            ",100 min,$0.36M
Art School Confidential,2006.0,6.3,"17,464","
Comedy, Drama, Romance            ",102 min,$3.30M
Daydream Nation,2010.0,6.3,"12,856","
Drama, Romance            ",98 min,
Daisy Miller,1974.0,6.3,"1,705","
Comedy, Drama, Romance            ",91 min,$0.36M
Hiding Out,1987.0,6.3,"3,955","
Comedy, Drama, Romance            ",98 min,$7.02M
House of Dark Shadows,1970.0,6.3,"3,243","
Drama, Fantasy, Horror            ",97 min,$4.00M
Carried Away,1996.0,6.3,"1,640","
Drama, Romance            ",109 min,$0.29M
The City of Your Final Destination,2009.0,6.3,"3,152","
Drama, Romance            ",117 min,
The Myth of the American Sleepover,2010.0,6.3,"4,471","
Comedy, Drama, Romance            ",96 min,$0.04M
Lord Love a Duck,1966.0,6.3,"1,768","
Comedy, Drama, Romance            ",105 min,
Marjorie Prime,2017.0,6.3,"6,634","
Drama, Romance, Sci-Fi            ",99 min,$0.18M
The Claim,2000.0,6.3,"6,491","
Drama, Romance, Western            ",120 min,$0.67M
Backstabbing for Beginners,2018.0,6.3,"5,565","
Drama, History, Romance            ",108 min,
Top End Wedding,2019.0,6.3,"2,225","
Comedy, Romance            ",113 min,
Anthony Adverse,1936.0,6.3,"1,927","
Adventure, Drama, Romance            ",141 min,
Twice Bitten,2021.0,6.3,128,"
Drama, Romance, Thriller            ",88 min,
We Don't Live Here Anymore,2004.0,6.3,"9,760","
Drama, Romance            ",101 min,$2.04M
Your Friends and Neighbors,1998.0,6.3,"8,198","
Comedy, Drama, Romance            ",100 min,$4.71M
She Done Him Wrong,1933.0,6.3,"6,569","
Comedy, Drama, History            ",66 min,$4.80M
Bleak Future,1997.0,5.6,229,"
Action, Comedy, Horror            ",73 min,
Thunder in Dixie,1964.0,5.6,63,"
Action, Drama            ",73 min,
Cool Red,1976.0,5.6,30,"
Action, Drama            ",101 min,
Juvenile Court,1938.0,5.6,158,"
Action, Crime, Drama            ",60 min,
Witch Walker,2018.0,5.6,81,"
Action, Comedy, Fantasy            ",97 min,
Bore Lee: U kandzama velegrada,2003.0,5.6,301,"
Action, Drama, Romance            ",58 min,
Prisoners in Petticoats,1950.0,5.6,29,"
Action, Crime, Drama            ",60 min,
Rise of the Undead,2013.0,5.6,59,"
Action, Horror            ",70 min,$0.00M
The 99 Unbound,2011.0,5.6,22,"
Animation, Action, Adventure            ",82 min,
Rookie Fireman,1950.0,5.6,19,"
Action, Drama, Romance            ",63 min,
Agent 5,2016.0,5.6,13,"
Action            ",82 min,
Commando Invasion,1986.0,5.6,39,"
Action            ",85 min,
The Pace That Thrills,1952.0,5.6,116,"
Action, Drama, Romance            ",63 min,
The 72 Desperate Rebels,1978.0,5.6,75,"
Action, Drama            ",93 min,
The Gallant Blade,1948.0,5.6,52,"
Action, Adventure, Drama            ",81 min,
Saigon Eclipse,2007.0,5.6,60,"
Action, Drama, Thriller            ",90 min,
